ticker,date,period_ending,estimate,reported,surprise,surprise%
WAL,15-JUL-21,Jun 2021,2.02,2.29,0.27,13.37
WASH,21-JUL-21,Jun 2021,1.13,1.0,-0.13,-11.5
WAT,03-AUG-21,Jun 2021,2.24,2.6,0.36,16.07
WBA,01-JUL-21,May 2021,1.11,1.51,0.4,36.04
WBS,22-JUL-21,Jun 2021,1.0,1.21,0.21,21.0
WBT,03-AUG-21,Jun 2021,0.12,0.22,0.1,83.33
WCC,05-AUG-21,Jun 2021,1.95,2.64,0.69,35.38
WD,05-AUG-21,Jun 2021,2.05,1.73,-0.32,-15.61
WDAY,26-AUG-21,Jul 2021,0.78,1.23,0.45,57.69
WDC,04-AUG-21,Jun 2021,1.46,2.16,0.7,47.95
WDFC,07-JUL-21,May 2021,1.15,1.52,0.37,32.17
WEC,03-AUG-21,Jun 2021,0.79,0.87,0.08,10.13
WELL,29-JUL-21,Jun 2021,0.77,0.79,0.02,2.6
WEN,11-AUG-21,Jun 2021,0.18,0.27,0.09,50.0
WERN,29-JUL-21,Jun 2021,0.86,0.86,0.0,0.0
WETF,30-JUL-21,Jun 2021,0.09,0.1,0.01,11.11
WEX,29-JUL-21,Jun 2021,1.99,2.31,0.32,16.08
WFC,14-JUL-21,Jun 2021,0.95,1.38,0.43,45.26
WGO,23-JUN-21,May 2021,1.76,2.16,0.4,22.73
WH,28-JUL-21,Jun 2021,0.68,0.95,0.27,39.71
WHD,28-JUL-21,Jun 2021,0.18,0.16,-0.02,-11.11
WHR,21-JUL-21,Jun 2021,5.89,6.64,0.75,12.73
WING,28-JUL-21,Jun 2021,0.33,0.38,0.05,15.15
WIRE,27-JUL-21,Jun 2021,1.14,8.82,7.68,673.68
WIX,11-AUG-21,Jun 2021,-0.28,-0.28,0.0,0.0
WK,03-AUG-21,Jun 2021,0.01,0.07,0.06,600.0
WKHS,09-AUG-21,Jun 2021,-0.19,-0.35,-0.16,-84.21
WLDN,05-AUG-21,Jun 2021,0.39,0.24,-0.15,-38.46
WLK,03-AUG-21,Jun 2021,3.8,4.04,0.24,6.32
WLL,04-AUG-21,Jun 2021,2.45,3.01,0.56,22.86
WM,27-JUL-21,Jun 2021,1.18,1.27,0.09,7.63
WMB,02-AUG-21,Jun 2021,0.27,0.27,0.0,0.0
WMS,05-AUG-21,Jun 2021,1.24,0.87,-0.37,-29.84
WMT,17-AUG-21,Jul 2021,1.56,1.78,0.22,14.1
WNC,28-JUL-21,Jun 2021,0.11,0.21,0.1,90.91
WOOF,19-AUG-21,Jul 2021,0.18,0.25,0.07,38.89
WOW,05-AUG-21,Jun 2021,0.1,-0.27,-0.37,-370.0
WPC,30-JUL-21,Jun 2021,1.24,1.27,0.03,2.42
WRB,22-JUL-21,Jun 2021,0.64,0.78,0.14,21.88
WRE,29-JUL-21,Jun 2021,0.33,0.24,-0.09,-27.27
WRK,05-AUG-21,Jun 2021,0.97,1.0,0.03,3.09
WRLD,21-JUL-21,Jun 2021,2.01,2.44,0.43,21.39
WSBC,27-JUL-21,Jun 2021,0.72,1.03,0.31,43.06
WSBF,20-JUL-21,Jun 2021,0.62,0.74,0.12,19.35
WSC,05-AUG-21,Jun 2021,0.17,0.14,-0.03,-17.65
WSFS,22-JUL-21,Jun 2021,0.84,2.0,1.16,138.1
WSM,25-AUG-21,Jul 2021,2.55,3.24,0.69,27.06
WSO,22-JUL-21,Jun 2021,3.15,3.71,0.56,17.78
WSR,03-AUG-21,Jun 2021,0.22,0.26,0.04,18.18
WST,29-JUL-21,Jun 2021,1.74,2.46,0.72,41.38
WTBA,29-JUL-21,Jun 2021,0.62,0.79,0.17,27.42
WTFC,19-JUL-21,Jun 2021,1.63,1.7,0.07,4.29
WTI,03-AUG-21,Jun 2021,0.09,0.02,-0.07,-77.78
WTS,04-AUG-21,Jun 2021,1.29,1.48,0.19,14.73
WTTR,03-AUG-21,Jun 2021,-0.12,-0.19,-0.07,-58.33
WU,04-AUG-21,Jun 2021,0.47,0.48,0.01,2.13
WW,10-AUG-21,Jun 2021,0.67,0.48,-0.19,-28.36
WWD,02-AUG-21,Jun 2021,0.99,0.74,-0.25,-25.25
WWE,29-JUL-21,Jun 2021,0.24,0.42,0.18,75.0
WWW,29-JUL-21,Jun 2021,0.47,0.67,0.2,42.55
WY,30-JUL-21,Jun 2021,1.38,1.37,-0.01,-0.72
WYNN,04-AUG-21,Jun 2021,-1.41,-1.12,0.29,20.57
X,29-JUL-21,Jun 2021,3.16,3.37,0.21,6.65
XEL,29-JUL-21,Jun 2021,0.56,0.58,0.02,3.57
XENT,06-AUG-21,Jun 2021,-0.42,-0.49,-0.07,-16.67
XHR,03-AUG-21,Jun 2021,0.01,-0.36,-0.37,-3700.0
XNCR,04-AUG-21,Jun 2021,-0.61,0.87,1.48,242.62
XOM,30-JUL-21,Jun 2021,1.02,1.1,0.08,7.84
XPEL,09-AUG-21,Jun 2021,0.24,0.37,0.13,54.17
XPER,03-AUG-21,Jun 2021,0.47,0.61,0.14,29.79
XPO,28-JUL-21,Jun 2021,1.71,1.86,0.15,8.77
XRAY,05-AUG-21,Jun 2021,0.65,0.71,0.06,9.23
XRX,27-JUL-21,Jun 2021,0.35,0.47,0.12,34.29
